field_1,lat,lng,time,population,popxtime
0,30.5116,-97.7538100000002,488,1370.93896484375,669018.21484375
1,30.5066,-97.7488100000002,492,1816.20104980469,893570.916503906
2,30.5016,-97.7888100000001,490,858.370727539062,420601.656494141
3,30.4966,-97.7988100000001,627,1526.59301757812,957173.822021484
4,30.4916,-97.7988100000001,489,1526.59301757812,746503.985595703
5,30.4916,-97.7938100000001,557,1526.59301757812,850312.310791016
6,30.4866,-97.8038100000001,548,114.50830078125,62750.548828125
7,30.4866,-97.7988100000001,507,147.075607299805,74567.332901001
8,30.4866,-97.7888100000001,543,358.808013916016,194832.751556396
9,30.4766,-97.8088100000001,500,1381.87805175781,690939.025878906
10,30.4766,-97.8038100000001,492,370.976989746094,182520.678955078
11,30.4716,-97.8088100000001,509,673.0166015625,342565.450195312
12,30.4666,-97.8088100000001,504,673.0166015625,339200.3671875
13,30.4466,-97.7038100000002,496,41.059139251709,20365.3330688477
14,30.4466,-97.6638100000002,643,1305.15600585938,839215.311767578
15,30.4416,-97.7538100000002,566,3067.38793945312,1736141.57373047
16,30.4416,-97.7488100000002,593,2269.65698242188,1345906.59057617
17,30.4416,-97.7438100000002,676,2269.65698242188,1534288.12011719
18,30.4416,-97.6688100000002,531,1774.09802246094,942046.049926758
19,30.4416,-97.6638100000002,537,1305.15600585938,700868.775146484
20,30.4366,-97.8338100000001,496,1873.53503417969,929273.376953125
21,30.4366,-97.8288100000001,577,1860.74597167969,1073650.42565918
22,30.4366,-97.8188100000001,538,2157.75610351562,1160872.78369141
23,30.4366,-97.7488100000002,613,3467,2125271
24,30.4366,-97.7438100000002,596,3467,2066332
25,30.4366,-97.7388100000002,523,1693.19494628906,885540.95690918
26,30.4366,-97.7338100000002,561,1693.19494628906,949882.364868164
27,30.4366,-97.7288100000002,647,1146.95397949219,742079.224731445
28,30.4366,-97.6688100000002,523,1466.30102539062,766875.436279297
29,30.4316,-97.8438100000001,507,389.497802734375,197475.385986328
30,30.4316,-97.8288100000001,529,1123.0009765625,594067.516601562
31,30.4316,-97.8188100000001,618,908.929504394531,561718.43371582
32,30.4316,-97.7388100000002,506,766.564514160156,387881.644165039
33,30.4316,-97.7338100000002,483,766.564514160156,370250.660339355
34,30.4316,-97.7288100000002,528,982.375915527344,518694.483398437
35,30.4316,-97.6688100000002,548,1077.51403808594,590477.692871094
36,30.4316,-97.6588100000003,513,452.110412597656,231932.641662598
37,30.4266,-97.8588100000001,485,244.762100219727,118709.618606567
38,30.4266,-97.8388100000001,501,1643.39697265625,823341.883300781
39,30.4266,-97.6688100000002,519,1077.51403808594,559229.785766602
40,30.4166,-97.8388100000001,562,430.898498535156,242164.956176758
41,30.4166,-97.7588100000002,504,1875.3330078125,945167.8359375
42,30.4116,-97.7138100000002,531,1643.63195800781,872768.569702148
43,30.4116,-97.6738100000002,506,766.025817871094,387609.063842773
44,30.4016,-97.7388100000002,510,1467.9150390625,748636.669921875
45,30.4016,-97.7338100000002,495,1467.9150390625,726617.944335938
46,30.4016,-97.7238100000002,531,408.626190185547,216980.506988525
47,30.3966,-97.8038100000001,775,387.325805664062,300177.499389648
48,30.3966,-97.7988100000001,863,196.169906616211,169294.62940979
49,30.3966,-97.7738100000002,486,929.975280761719,451967.986450195
50,30.3966,-97.7238100000002,491,303.791107177734,149161.433624268
51,30.3966,-97.7188100000002,512,303.791107177734,155541.046875
52,30.3966,-97.6738100000002,609,1253.51293945312,763389.380126953
53,30.3916,-97.8038100000001,682,387.325805664062,264156.199462891
54,30.3916,-97.7988100000001,797,196.169906616211,156347.41557312
55,30.3916,-97.7488100000002,521,642.776916503906,334886.773498535
56,30.3916,-97.7438100000002,548,642.776916503906,352241.750244141
57,30.3916,-97.7338100000002,504,281.491394042969,141871.662597656
58,30.3916,-97.7188100000002,507,303.791107177734,154022.091339111
59,30.3616,-97.7388100000002,483,1391.67504882812,672179.048583984
60,30.3566,-97.7438100000002,514,2171.1240234375,1115957.74804688
61,30.3566,-97.7388100000002,499,1693.40295410156,845008.07409668
62,30.3566,-97.7338100000002,499,1693.40295410156,845008.07409668
63,30.3516,-97.8088100000001,503,6.71258878707886,3376.43215990067
64,30.3516,-97.7488100000002,511,2171.1240234375,1109444.37597656
65,30.3516,-97.7438100000002,546,2171.1240234375,1185433.71679688
66,30.3516,-97.7138100000002,506,2991.67993164062,1513790.04541016
67,30.3466,-97.7938100000001,665,361.029205322266,240084.421539307
68,30.3466,-97.7438100000002,485,1612.5849609375,782103.706054688
69,30.3466,-97.6988100000002,489,2732.34008789062,1336114.30297852
70,30.3416,-97.8138100000001,665,393.986907958984,262001.293792725
71,30.3416,-97.7938100000001,660,361.029205322266,238279.275512695
72,30.3416,-97.7888100000001,521,341.099304199219,177712.737487793
73,30.3316,-97.8238100000001,754,436.497314453125,329118.975097656
74,30.3266,-97.8338100000001,816,36.3553009033203,29665.9255371094
75,30.3266,-97.8288100000001,767,186.140701293945,142769.917892456
76,30.3266,-97.6738100000002,483,288.967712402344,139571.405090332
77,30.3266,-97.6538100000003,599,192.279098510742,115175.180007935
78,30.3266,-97.6438100000003,616,1118.27001953125,688854.33203125
79,30.3166,-97.7788100000001,811,608.484191894531,493480.679626465
80,30.3166,-97.7088100000002,501,750.657592773438,376079.453979492
81,30.3116,-97.7788100000001,844,690.020629882812,582377.411621094
82,30.3116,-97.7588100000002,530,568.676818847656,301398.713989258
83,30.3116,-97.7088100000002,579,1686.68395996094,976590.012817383
84,30.3066,-97.6688100000002,489,1054.10900878906,515459.305297851
85,30.3016000000001,-97.7938100000001,615,452.720794677734,278423.288726807
86,30.3016000000001,-97.6638100000002,623,989.064270019531,616187.040222168
87,30.2966000000001,-97.7888100000001,505,343.386688232422,173410.277557373
88,30.2916000000001,-97.8288100000001,700,267.482604980469,187237.823486328
89,30.2916000000001,-97.7938100000001,502,269.073791503906,135075.043334961
90,30.2866000000001,-97.8288100000001,670,348.787414550781,233687.567749023
91,30.2816000000001,-97.8238100000001,665,423.266693115234,281472.350921631
92,30.2816000000001,-97.7188100000002,498,1914.42700195312,953384.646972656
93,30.2766000000001,-97.8238100000001,626,423.266693115234,264964.949890137
94,30.2766000000001,-97.7088100000002,508,2043.59997558594,1038148.78759766
95,30.2716000000001,-97.8238100000001,676,420.449188232422,284223.651245117
96,30.2716000000001,-97.8188100000001,537,420.449188232422,225781.214080811
97,30.2666000000001,-97.8388100000001,764,121.130699157715,92543.8541564941
98,30.2666000000001,-97.7638100000001,675,917.476196289062,619296.432495117
99,30.2616000000001,-97.8438100000001,586,105.177001953125,61633.7231445312
100,30.2616000000001,-97.8388100000001,657,183.863296508789,120798.185806274
101,30.2616000000001,-97.7838100000001,620,1474.14294433594,913968.625488281
102,30.2616000000001,-97.7788100000001,534,1168.71704101562,624094.899902344
103,30.2616000000001,-97.7538100000002,559,735.970092773438,411407.281860352
104,30.2616000000001,-97.7488100000002,493,1907.80700683594,940548.854370117
105,30.2616000000001,-97.6638100000002,544,15.5895795822144,8480.73129272461
106,30.2566000000001,-97.8638100000001,551,11.9907598495483,6606.90867710114
107,30.2566000000001,-97.8438100000001,530,676.86962890625,358740.903320312
108,30.2566000000001,-97.8388100000001,596,975.287475585938,581271.335449219
109,30.2566000000001,-97.8338100000001,719,975.287475585938,701231.694946289
110,30.2566000000001,-97.8288100000001,696,1371.57299804688,954614.806640625
111,30.2566000000001,-97.8088100000001,492,252.198394775391,124081.610229492
112,30.2566000000001,-97.7838100000001,594,1455.15197753906,864360.274658203
113,30.2566000000001,-97.6338100000003,612,6.00943899154663,3677.77666282654
114,30.2566000000001,-97.6288100000003,496,28.0394191741943,13907.5519104004
115,30.2516000000001,-97.8438100000001,558,676.86962890625,377693.252929688
116,30.2516000000001,-97.8388100000001,602,975.287475585938,587123.060302734
117,30.2516000000001,-97.8338100000001,679,975.287475585938,662220.195922852
118,30.2516000000001,-97.8288100000001,658,1371.57299804688,902495.032714844
119,30.2516000000001,-97.8238100000001,696,302.587585449219,210600.959472656
120,30.2516000000001,-97.7938100000001,718,1652.27294921875,1186331.97753906
121,30.2516000000001,-97.7888100000001,687,1455.15197753906,999689.408569336
122,30.2516000000001,-97.6788100000002,509,246.585693359375,125512.117919922
123,30.2466000000001,-97.8438100000001,496,1030.96594238281,511359.107421875
124,30.2466000000001,-97.8388100000001,575,1090.22204589844,626877.676391602
125,30.2466000000001,-97.8338100000001,616,1090.22204589844,671576.780273438
126,30.2466000000001,-97.8288100000001,607,1437.59497070312,872620.147216797
127,30.2466000000001,-97.8238100000001,543,791.518920898438,429794.774047852
128,30.2466000000001,-97.8038100000001,522,348.675598144531,182008.662231445
129,30.2466000000001,-97.7988100000001,491,692.534484863281,340034.432067871
130,30.2466000000001,-97.7938100000001,766,692.534484863281,530481.415405273
131,30.2466000000001,-97.7888100000001,725,1265.16296386719,917243.148803711
132,30.2466000000001,-97.7088100000002,482,1975.90600585938,952386.694824219
133,30.2466000000001,-97.6938100000002,492,1070.77197265625,526819.810546875
134,30.2466000000001,-97.6888100000002,505,314.491912841797,158818.415985107
135,30.2416000000001,-97.8438100000001,550,1030.96594238281,567031.268310547
136,30.2416000000001,-97.8338100000001,485,1090.22204589844,528757.692260742
137,30.2416000000001,-97.8238100000001,559,791.518920898438,442459.076782227
138,30.2416000000001,-97.8188100000001,718,791.518920898438,568310.585205078
139,30.2416000000001,-97.8038100000001,501,348.675598144531,174686.47467041
140,30.2416000000001,-97.7988100000001,482,692.534484863281,333801.621704102
141,30.2416000000001,-97.7938100000001,653,692.534484863281,452225.018615723
142,30.2366000000001,-97.8188100000001,807,351.087493896484,283327.607574463
143,30.2366000000001,-97.8088100000001,691,234.415405273438,161981.045043945
144,30.2366000000001,-97.8038100000001,772,540.310791015625,417119.930664062
145,30.2366000000001,-97.6438100000003,646,2.85024905204773,1841.26088762283
146,30.2316000000001,-97.6538100000003,697,5.81142377853394,4050.56237363815
147,30.2216000000001,-97.8338100000001,677,356.815795898438,241564.293823242
148,30.2166000000001,-97.8238100000001,526,330.283813476562,173729.285888672
149,30.2166000000001,-97.7538100000002,651,1211.27197265625,788538.054199219
150,30.2166000000001,-97.7488100000002,662,2370.68701171875,1569394.80175781
151,30.2116000000001,-97.88881,518,1794.63403320312,929620.429199219
152,30.2116000000001,-97.88381,484,1794.63403320312,868602.872070312
153,30.2066000000001,-97.8638100000001,566,1956.39196777344,1107317.85375977
154,30.2066000000001,-97.6888100000002,530,205.989501953125,109174.436035156
155,30.2066000000001,-97.6138100000003,560,3.23001599311829,1808.80895614624
156,30.2066000000001,-97.6088100000003,546,3.23001599311829,1763.58873224258
157,30.2066000000001,-97.6038100000003,674,0.607348918914795,409.353171348572
158,30.2016000000001,-97.7438100000002,519,1102.8330078125,572370.331054688
159,30.2016000000001,-97.6088100000003,619,3.23001599311829,1999.37989974022
160,30.2016000000001,-97.6038100000003,666,0.607348918914795,404.494379997253
161,30.1966000000001,-97.7688100000002,534,1599.76904296875,854276.668945312
162,30.1916000000001,-97.8688100000001,550,580.539184570312,319296.551513672
163,30.1816000000001,-97.7738100000002,531,1747.416015625,927877.904296875
164,30.1816000000001,-97.7688100000002,575,1747.416015625,1004764.20898438
165,30.1816000000001,-97.6838100000002,483,21.3394603729248,10306.9593601227
166,30.1766000000001,-97.7788100000001,552,235.310699462891,129891.506103516
167,30.1766000000001,-97.7688100000002,614,1747.416015625,1072913.43359375
168,30.1766000000001,-97.6788100000002,520,0.595624387264252,309.724681377411
169,30.1766000000001,-97.6288100000003,679,27.7471504211426,18840.3151359558
170,30.1716000000001,-97.8488100000001,636,977.109313964843,621441.52368164
171,30.1716000000001,-97.8438100000001,602,977.109313964843,588219.807006836
172,30.1716000000001,-97.6288100000003,535,1513.26599121094,809597.305297852
173,30.1716000000001,-97.6238100000003,630,1708.49194335938,1076349.92431641
174,30.1716000000001,-97.6188100000003,528,1708.49194335938,902083.74609375
175,30.1716000000001,-97.6138100000003,540,2506.07202148438,1353278.89160156
176,30.1716000000001,-97.6088100000003,558,2506.07202148438,1398388.18798828
177,30.1666000000001,-97.8438100000001,551,977.109313964843,538387.231994629
178,30.1666000000001,-97.7638100000001,643,1464.28601074219,941535.904907227
179,30.1666000000001,-97.6238100000003,580,1708.49194335938,990925.327148438
180,30.1666000000001,-97.6188100000003,585,1708.49194335938,999467.786865234
181,30.1616000000001,-97.8488100000001,536,946.194213867188,507160.098632813
182,30.1616000000001,-97.8338100000001,558,1269.62097167969,708448.502197266
183,30.1616000000001,-97.8088100000001,501,1420.05603027344,711448.071166992
184,30.1616000000001,-97.7888100000001,588,657.089172363281,386368.433349609
185,30.1616000000001,-97.7838100000001,547,657.089172363281,359427.777282715
186,30.1616000000001,-97.7788100000001,516,1625.04699707031,838524.250488281
187,30.1566000000001,-97.8538100000001,537,1970.96301269531,1058407.13781738
188,30.1566000000001,-97.8488100000001,612,2328.626953125,1425119.6953125
189,30.1566000000001,-97.8438100000001,631,2328.626953125,1469363.60742188
190,30.1566000000001,-97.8388100000001,621,2506.32592773438,1556428.40112305
191,30.1566000000001,-97.8338100000001,540,2506.32592773438,1353416.00097656
192,30.1566000000001,-97.8288100000001,564,2053.26904296875,1158043.74023438
193,30.1566000000001,-97.8138100000001,503,1508.86999511719,758961.607543945
194,30.1516000000001,-97.8588100000001,542,866.69091796875,469746.477539062
195,30.1516000000001,-97.8538100000001,618,1970.96301269531,1218055.1418457
196,30.1516000000001,-97.8488100000001,608,2328.626953125,1415805.1875
197,30.1516000000001,-97.8438100000001,629,2328.626953125,1464706.35351562
198,30.1516000000001,-97.8388100000001,703,2506.32592773438,1761947.12719727
199,30.1516000000001,-97.8288100000001,590,2053.26904296875,1211428.73535156
200,30.1516000000001,-97.8138100000001,534,1508.86999511719,805736.577392578
201,30.1516000000001,-97.8038100000001,573,892.185302734375,511222.178466797
202,30.1516000000001,-97.7938100000001,505,453.984313964844,229262.078552246
203,30.1516000000001,-97.7888100000001,524,1871.94702148438,980900.239257812
204,30.1516000000001,-97.7838100000001,518,1871.94702148438,969668.557128906
205,30.1516000000001,-97.7538100000002,612,148.082000732422,90626.1844482422
206,30.1466000000001,-97.8638100000001,998,198.242797851562,197846.312255859
207,30.1466000000001,-97.8588100000001,597,198.242797851562,118350.950317383
208,30.1466000000001,-97.8538100000001,546,377.888000488281,206326.848266602
209,30.1466000000001,-97.8438100000001,661,696.807800292969,460589.955993652
210,30.1466000000001,-97.8388100000001,714,1018.27197265625,727046.188476562
211,30.1466000000001,-97.7938100000001,862,765.721984863281,660052.350952148
212,30.1466000000001,-97.7888100000001,497,1574.90405273438,782727.314208984
213,30.1466000000001,-97.7838100000001,748,1574.90405273438,1178028.23144531
214,30.1466000000001,-97.7788100000001,729,945.650085449219,689378.91229248
215,30.1466000000001,-97.7388100000002,500,410.845703125,205422.8515625
216,30.1416000000001,-97.8538100000001,766,377.888000488281,289462.208374023
217,30.1416000000001,-97.8488100000001,619,696.807800292969,431324.028381348
218,30.1416000000001,-97.7938100000001,629,765.721984863281,481639.128479004
219,30.1416000000001,-97.7888100000001,660,1574.90405273438,1039436.67480469
220,30.1416000000001,-97.7788100000001,799,945.650085449219,755574.418273926
221,30.1416000000001,-97.7738100000002,569,566.843017578125,322533.677001953
222,30.1416000000001,-97.7688100000002,585,566.843017578125,331603.165283203
223,30.1416000000001,-97.7638100000001,581,183.223098754883,106452.620376587
224,30.1366000000001,-97.8038100000001,604,626.4912109375,378400.69140625
225,30.1366000000001,-97.7988100000001,563,761.708129882812,428841.677124023
226,30.1366000000001,-97.7938100000001,598,761.708129882812,455501.461669922
227,30.1366000000001,-97.7888100000001,627,694.270385742188,435307.531860352
228,30.1366000000001,-97.7838100000001,736,694.270385742188,510983.00390625
229,30.1366000000001,-97.7788100000001,722,546.522399902344,394589.172729492
230,30.1366000000001,-97.7738100000002,596,718.769226074219,428386.458740234
231,30.1366000000001,-97.7688100000002,686,718.769226074219,493075.689086914
232,30.1316000000001,-97.7838100000001,666,216.658798217773,144294.759613037
233,30.1316000000001,-97.7788100000001,649,179.661193847656,116600.114807129
234,30.1316000000001,-97.7738100000002,697,12.9855899810791,9050.95621681213
235,30.1266000000001,-97.7988100000001,573,0.0500603094696999,28.684557326138
236,30.1216000000001,-97.8038100000001,766,1.31996095180511,1011.09008908272
237,30.1066000000001,-97.8088100000001,539,39.1375503540039,21095.1396408081
